Country;Christian;Muslim;Unaffiliated;Hindu;Buddhist;Folk Religions;Other Religions;Jewish
Norway;84.70 %;3.70 %;10.10 %;0.50 %;0.60 %;< 0.1%;0.20 %;< 0.1%
Oman;6.50 %;85.90 %;0.20 %;5.50 %;0.80 %;< 0.1%;1.00 %;< 0.1%
Pakistan;1.60 %;96.40 %;< 0.1%;1.90 %;< 0.1%;< 0.1%;< 0.1%;< 0.1%
Palau;86.70 %;< 0.1%;1.20 %;< 0.1%;0.80 %;0.80 %;10.40 %;< 0.1%
Palestinian territories;2.40 %;97.60 %;< 0.1%;< 0.1%;< 0.1%;< 0.1%;< 0.1%;< 0.1%
Panama;93.00 %;0.70 %;4.80 %;< 0.1%;0.20 %;0.40 %;0.40 %;0.40 %
Papua New Guinea;> 99.0%;< 0.1%;< 0.1%;< 0.1%;< 0.1%;0.40 %;0.20 %;< 0.1%
Paraguay;96.90 %;< 0.1%;1.10 %;< 0.1%;< 0.1%;1.70 %;0.20 %;< 0.1%
Peru;95.50 %;< 0.1%;3.00 %;< 0.1%;0.20 %;1.00 %;0.30 %;< 0.1%
Philippines;92.60 %;5.50 %;0.10 %;< 0.1%;< 0.1%;1.50 %;0.10 %;< 0.1%
Poland;94.30 %;< 0.1%;5.60 %;< 0.1%;< 0.1%;< 0.1%;< 0.1%;< 0.1%
Portugal;93.80 %;0.60 %;4.40 %;0.10 %;0.60 %;0.50 %;< 0.1%;< 0.1%
Puerto Rico;96.70 %;< 0.1%;1.90 %;< 0.1%;0.30 %;0.80 %;0.10 %;< 0.1%
Qatar;13.80 %;67.70 %;0.90 %;13.80 %;3.10 %;< 0.1%;0.70 %;< 0.1%
Republic of Macedonia;59.30 %;39.30 %;1.40 %;< 0.1%;< 0.1%;< 0.1%;< 0.1%;< 0.1%
Republic of the Congo;85.90 %;1.20 %;9.00 %;< 0.1%;< 0.1%;2.80 %;1.10 %;< 0.1%
Reunion;87.60 %;4.20 %;2.00 %;4.50 %;0.20 %;0.40 %;1.10 %;< 0.1%
Romania;> 99.0%;0.30 %;0.10 %;< 0.1%;< 0.1%;< 0.1%;< 0.1%;< 0.1%
Russia;73.30 %;10.00 %;16.20 %;< 0.1%;0.10 %;0.20 %;< 0.1%;0.20 %
Rwanda;93.40 %;1.80 %;3.60 %;< 0.1%;< 0.1%;1.00 %;0.20 %;< 0.1%
Samoa;96.80 %;< 0.1%;2.50 %;< 0.1%;< 0.1%;< 0.1%;0.40 %;< 0.1%
San Marino;91.60 %;< 0.1%;7.20 %;< 0.1%;< 0.1%;< 0.1%;0.90 %;0.30 %
Sao Tome and Principe;82.20 %;< 0.1%;12.60 %;< 0.1%;< 0.1%;2.90 %;2.40 %;< 0.1%
Saudi Arabia;4.40 %;93.00 %;0.70 %;1.10 %;0.30 %;0.30 %;0.30 %;< 0.1%
Senegal;3.60 %;96.40 %;< 0.1%;< 0.1%;< 0.1%;< 0.1%;< 0.1%;< 0.1%
Serbia;92.50 %;4.20 %;3.30 %;< 0.1%;< 0.1%;< 0.1%;< 0.1%;< 0.1%
Seychelles;94.00 %;1.10 %;2.10 %;2.10 %;< 0.1%;< 0.1%;0.60 %;< 0.1%
Sierra Leone;20.90 %;78.00 %;0.10 %;< 0.1%;< 0.1%;0.80 %;< 0.1%;< 0.1%
Singapore;18.20 %;14.30 %;16.40 %;5.20 %;33.90 %;2.30 %;9.70 %;< 0.1%
Slovakia;85.30 %;0.20 %;14.30 %;< 0.1%;< 0.1%;< 0.1%;< 0.1%;< 0.1%
Slovenia;78.40 %;3.60 %;18.00 %;< 0.1%;< 0.1%;< 0.1%;< 0.1%;< 0.1%
Solomon Islands;97.40 %;< 0.1%;0.20 %;< 0.1%;0.30 %;1.30 %;0.70 %;< 0.1%
Somalia;< 0.1%;> 99.0%;< 0.1%;< 0.1%;< 0.1%;< 0.1%;< 0.1%;< 0.1%
South Africa;81.20 %;1.70 %;14.90 %;1.10 %;0.20 %;0.40 %;0.30 %;0.10 %
South Korea;29.40 %;0.20 %;46.40 %;< 0.1%;22.90 %;0.80 %;0.20 %;< 0.1%
South Sudan;60.50 %;6.20 %;0.50 %;< 0.1%;< 0.1%;32.90 %;< 0.1%;< 0.1%
Spain;78.60 %;2.10 %;19.00 %;< 0.1%;< 0.1%;< 0.1%;< 0.1%;0.10 %
Sri Lanka;7.30 %;9.80 %;< 0.1%;13.60 %;69.30 %;< 0.1%;< 0.1%;< 0.1%
St. Helena;96.50 %;< 0.1%;3.30 %;< 0.1%;< 0.1%;< 0.1%;0.20 %;< 0.1%
St. Kitts and Nevis;94.60 %;0.30 %;1.60 %;1.50 %;< 0.1%;1.30 %;0.80 %;< 0.1%
St. Lucia;91.10 %;0.10 %;6.00 %;0.30 %;< 0.1%;0.50 %;2.00 %;< 0.1%
St. Pierre and Miquelon;94.70 %;0.20 %;3.80 %;< 0.1%;< 0.1%;< 0.1%;1.30 %;< 0.1%
St. Vincent and the Grenadines;88.70 %;1.50 %;2.50 %;3.40 %;< 0.1%;2.00 %;2.00 %;< 0.1%
Sudan;5.40 %;90.70 %;1.00 %;< 0.1%;< 0.1%;2.80 %;< 0.1%;< 0.1%
